,number_sta,lat,lon,height_sta,date,dd,ff,precip,hu,td,t,psl
38564687,63178001,45.535,3.262,372.0,20181124 03:18,170.0,3.0,0.0,93.0,276.55,277.55,
2004704,38412002,45.39,5.72,380.0,20160118 10:24,260.0,0.7,0.0,,,270.45,
2108484,66194002,42.4,2.559,700.0,20180119 06:18,190.0,2.1,0.0,63.0,271.85,278.35,
18290166,20247001,41.59,9.36,57.0,20160607 00:18,300.0,1.4,,,,,
22983044,6163007,44.04,7.59,636.0,20160717 04:48,,,0.0,,,283.75,
35506610,74060001,45.782,6.152,970.0,20181030 03:30,,,0.0,,,272.25,
16586323,4126001,44.39,6.33,1197.0,20160523 01:00,,,0.0,,,279.55,
10518047,36093002,46.94,1.66,170.0,20160626 01:00,,,0.0,87.0,281.25,283.35,
6355849,28198001,48.06,1.38,127.0,20170416 17:06,320.0,3.9,0.0,49.0,276.05,286.55,102370.0
11043349,66029003,42.59,2.68,347.0,20170406 17:48,320.0,8.5,0.0,43.0,275.55,288.05,
7891760,28078001,48.11,0.91,197.0,20160512 09:42,,,0.0,,,287.05,
10496782,30164001,44.222,4.345,318.0,20160331 13:12,160.0,2.3,0.0,49.0,282.55,293.65,
13592609,48186001,44.316,3.651,903.0,20180427 20:30,310.0,2.1,0.0,66.0,279.15,285.35,
43162778,7159001,44.581,4.497,275.0,20181230 20:12,,,0.0,,,281.25,
1740498,20342001,41.92,9.4,17.0,20160116 03:18,290.0,2.2,0.0,57.0,270.75,278.55,100840.0
17736762,13055029,43.31,5.48,192.0,20160602 06:12,270.0,2.1,0.0,78.0,286.15,290.05,
14092915,73150004,45.5,6.675,2120.0,20180502 03:06,,,0.0,,,271.15,
11783932,42052002,46.16,4.17,279.0,20160411 15:24,,,0.0,,,,
33899380,12189001,44.24,2.26,564.0,20171024 02:30,,,0.0,,,281.75,
15428371,83150002,43.73,5.78,271.0,20170515 00:42,30.0,1.1,0.0,81.0,280.15,283.25,
38287189,13062002,43.419,5.5,416.0,20181121 22:06,0.0,0.0,0.0,100.0,281.55,281.55,
14678168,11333001,43.0,2.05,601.0,20160506 08:54,80.0,7.6,0.0,56.0,278.15,286.85,
2344559,38053003,45.608,5.309,358.0,20180121 07:00,230.0,2.3,0.0,78.0,276.55,280.15,
27777329,69028001,45.71,4.69,317.0,20160827 10:12,200.0,2.8,0.4,41.0,288.95,303.75,
12282864,26361001,44.51,5.58,790.0,20160415 21:30,,,0.0,,,285.25,
13435002,42253002,46.05,4.01,338.0,20160425 18:18,80.0,0.8,,60.0,274.65,281.95,101370.0
10942412,14624001,48.99,-0.01,52.0,20170702 14:18,,,0.0,,,294.45,
20330289,29263002,48.228,-4.098,63.0,20161205 23:06,130.0,2.7,0.0,97.0,283.45,283.95,
9084545,53083001,48.32,-0.22,172.0,20160602 02:54,,,0.0,,,285.55,
7653414,76552001,49.51,0.07,104.0,20160508 09:30,130.0,5.4,0.0,44.0,280.85,293.55,100570.0
9355427,26165001,44.79,4.83,98.0,20170323 01:30,,,0.0,79.0,281.45,284.95,
18461086,20093002,42.63,8.92,145.0,20160608 11:24,280.0,4.3,0.0,73.0,290.55,295.65,101720.0
27460572,11203004,43.17,2.73,60.0,20160824 16:30,100.0,6.4,0.0,37.0,285.25,301.35,101770.0
205419,4049001,44.06,5.99,461.0,20170102 18:18,40.0,1.7,0.0,77.0,272.65,276.25,102030.0
6912111,6120004,44.26,6.92,1150.0,20170301 15:54,,,0.0,,,282.75,
6340218,61169003,48.75,-0.59,195.0,20160416 09:54,260.0,5.0,0.0,74.0,278.85,283.25,
18686426,83077001,43.26,5.96,309.0,20160610 09:36,,,0.0,,,298.15,
11796420,20004014,41.938,8.721,91.0,20160411 18:00,,,0.0,,,287.85,
40178874,4136001,43.98,6.52,920.0,20161213 04:06,0.0,0.0,0.0,91.0,265.35,266.55,
5545183,36093002,46.94,1.66,170.0,20170403 04:06,,,0.0,,,,
18411915,85169002,46.808,-1.598,51.0,20181104 03:00,140.0,2.1,0.0,,,277.25,
17016958,20107001,43.0,9.36,113.0,20170528 22:24,90.0,1.5,0.0,52.0,283.05,293.25,101950.0
26432503,20223001,42.54,9.19,510.0,20170819 11:42,330.0,3.3,0.0,41.0,287.25,301.75,
27480685,20149002,42.06,9.36,66.0,20170828 15:42,,,0.0,33.0,286.35,304.85,
27975147,23209001,46.14,2.26,440.0,20170901 23:06,,,0.0,,,283.25,
31149789,7159001,44.58,4.5,278.0,20170929 20:54,,,0.0,,,,
4458526,7068001,45.02,4.67,566.0,20180208 10:54,30.0,3.3,0.0,86.0,269.85,271.85,
545840,79049004,46.84,-0.516,191.0,20180110 05:48,200.0,1.5,0.0,99.0,279.75,279.85,
27294441,13056002,43.33,5.05,27.0,20160823 06:00,50.0,1.1,,,,,
18431840,28280003,48.314,0.839,180.0,20161104 16:36,,,,98.0,280.35,280.65,101120.0
30015242,19148001,45.38,2.28,615.0,20170919 18:12,,,0.0,,,,
13342728,50615001,49.52,-1.51,61.0,20160812 00:54,,,0.0,,,286.95,
26626715,30334003,43.99,4.4,72.0,20170821 04:36,10.0,1.7,0.0,45.0,278.65,290.85,
7153826,43095001,45.146,3.665,1102.0,20160302 19:36,,,0.0,85.0,270.55,272.75,
40002560,4126001,44.392,6.333,1197.0,20181205 14:12,,,0.0,,,282.85,
20216088,37113001,46.921,0.796,58.0,20181203 07:42,,,0.0,,,286.95,
20160529,27347001,49.03,1.22,138.0,20161203 04:42,50.0,4.4,0.0,96.0,278.05,278.65,102220.0
41072367,38229001,45.23,5.78,469.0,20171225 08:24,,,0.0,,,,
41486500,30175001,44.27,4.43,120.0,20161224 10:42,,,0.0,,,281.25,
23612099,20047006,42.331,9.021,811.0,20180721 21:36,50.0,0.6,0.0,58.0,283.25,291.65,
22119365,63353003,45.461,3.533,1070.0,20180709 07:00,20.0,3.6,0.0,58.0,282.35,290.75,
9083908,28215001,48.329,1.817,145.0,20180602 02:12,,,0.0,100.0,287.85,287.75,
23157476,23113001,45.99,2.39,610.0,20170721 19:30,,,0.0,,,289.85,
11940915,30258001,43.766,4.417,105.0,20180413 18:24,140.0,4.9,0.2,89.0,283.55,285.35,101450.0
35477027,6136005,43.863,7.434,843.0,20171106 18:24,50.0,3.5,0.0,67.0,272.65,278.25,
17137932,5070003,44.319,5.795,565.0,20180527 23:54,300.0,2.0,0.0,91.0,286.05,287.55,
25484323,83050007,43.526,6.453,173.0,20160807 16:48,,,0.0,,,302.95,
20602321,76228001,49.65,0.82,147.0,20161210 09:36,160.0,2.6,0.0,98.0,277.65,277.95,
26334188,84009002,43.79,5.62,381.0,20160815 00:06,0.0,0.0,0.0,65.0,280.95,287.45,
4782100,13108004,43.83,4.64,15.0,20170211 04:36,100.0,3.6,0.0,76.0,276.85,280.85,
17829149,14137001,49.18,-0.456,67.0,20181025 12:42,330.0,2.0,0.0,74.0,282.75,287.35,102280.0
22657246,34317001,43.79,3.46,620.0,20160714 09:54,,,0.0,,,288.95,
5713576,20307002,42.38,9.52,17.0,20160219 10:42,,,,39.0,273.95,288.05,
34271345,13036003,43.847,4.835,17.0,20181019 23:30,0.0,0.0,0.0,95.0,285.25,286.05,
33423280,38384001,45.36,5.31,386.0,20171019 22:54,90.0,2.7,0.0,79.0,279.95,283.45,101500.0
7249153,6081001,43.814,6.809,1525.0,20180304 09:36,160.0,3.4,0.0,61.0,270.35,277.25,
33610251,66194002,42.4,2.559,700.0,20171021 14:00,40.0,2.7,0.0,67.0,284.55,290.75,
33912943,6004002,43.565,7.133,72.0,20181017 00:24,340.0,2.7,,,,,
33574446,83118002,43.41,6.85,129.0,20171021 06:30,290.0,5.6,,,,,
5914745,20270001,42.08,8.8,407.0,20170220 23:54,360.0,0.6,0.0,83.0,277.65,280.45,
4004803,15120005,45.22,2.29,674.0,20160204 18:30,170.0,0.8,0.2,99.0,275.85,275.95,
2956044,15014004,44.9,2.42,640.0,20160126 16:36,220.0,1.1,0.0,59.0,278.55,286.35,102840.0
13621447,34306001,43.71,3.35,252.0,20160427 08:30,310.0,8.5,0.0,42.0,272.65,285.15,
38985737,42218011,45.45,4.36,602.0,20171207 04:12,190.0,2.2,0.0,82.0,270.95,273.65,
4813816,12254001,44.41,2.48,579.0,20170211 11:12,160.0,7.0,0.0,66.0,277.45,283.55,101600.0
13175737,29168001,48.04,-4.73,67.0,20160809 06:06,360.0,2.2,,,,,
20402299,26100001,44.83,5.09,820.0,20170627 17:12,,,0.0,50.0,286.75,297.85,
19303779,63113001,45.79,3.15,326.0,20160615 16:24,40.0,2.5,0.0,65.0,285.85,292.65,100020.0
5072056,26307001,45.01,5.29,308.0,20180213 17:06,,,0.0,,,,
1404464,6127006,44.07,7.26,899.0,20170113 01:36,,,0.0,,,274.75,
34835237,4209005,44.22,5.92,500.0,20171101 04:54,310.0,1.1,0.0,94.0,272.05,272.85,
11627948,20223001,42.54,9.19,510.0,20170411 20:18,150.0,0.6,0.0,91.0,283.15,284.55,
35309955,69299001,45.73,5.08,240.0,20161101 01:54,0.0,0.0,0.0,99.0,278.25,278.35,102530.0
11729515,11004001,43.112,2.098,293.0,20180411 23:00,70.0,2.4,0.0,90.0,278.65,280.35,
4625860,85119001,46.97,-1.13,100.0,20170318 20:42,,,0.0,93.0,282.65,283.75,
5271798,56004001,47.51,-2.38,26.0,20170329 14:48,,,0.0,,,292.65,
7927235,66074002,42.63,2.45,307.0,20180310 04:54,260.0,4.5,0.0,43.0,278.25,291.05,
17421853,83035001,43.25,5.78,418.0,20160530 13:30,290.0,7.9,0.0,54.0,282.65,292.15,101240.0
17599483,86039001,46.276,0.19,148.0,20181021 17:42,,,0.0,,,288.15,
31393766,63451001,45.67,2.89,1045.0,20171002 00:54,270.0,4.2,0.0,95.0,284.95,285.75,
18922468,4006005,44.242,6.625,1400.0,20180612 03:36,,,0.0,,,281.65,
9196008,73261003,45.218,6.465,698.0,20180321 02:48,,,0.0,,,272.35,
10554280,73052002,45.488,6.209,822.0,20180401 20:06,,,0.0,,,272.35,
19041501,53159002,48.21,-0.539,107.0,20181114 11:06,,,0.0,,,285.55,
14979811,37023002,47.177,1.212,126.0,20180908 07:18,,,0.0,79.0,283.35,286.95,
13227339,7185001,45.14,4.665,525.0,20180424 17:54,,,0.0,,,,
21640917,76217001,49.93,1.09,40.0,20171228 03:18,320.0,8.0,0.0,65.0,272.65,278.75,100120.0
33753252,7066800,44.698,4.649,212.0,20181015 16:36,,,0.0,94.0,288.15,289.15,
21765221,38412002,45.39,5.72,380.0,20160706 18:24,30.0,1.2,0.0,,,297.15,
37937510,69066003,46.097,4.319,553.0,20161123 18:48,,,0.0,,,284.85,
19001717,63125002,45.75,3.57,455.0,20170615 09:18,310.0,0.5,0.0,66.0,291.75,298.55,
34173918,26348001,44.43,4.99,257.0,20161022 03:42,,,0.0,,,,
40383659,6094002,44.1,6.931,1784.0,20161214 22:30,260.0,0.7,0.0,41.0,262.25,274.05,
14599211,42039003,45.699,3.844,990.0,20160505 16:36,100.0,3.5,0.0,49.0,279.15,289.95,
6429485,30339001,44.12,3.58,1564.0,20170225 11:06,90.0,2.5,0.0,33.0,260.75,275.45,
960777,30003001,43.537,4.207,1.0,20170109 06:06,330.0,6.0,0.0,69.0,270.55,275.65,
41437960,13054001,43.438,5.216,32.0,20181216 23:48,280.0,7.8,0.0,93.0,279.95,281.05,101660.0
11068378,22219003,48.266,-2.748,235.0,20180705 07:30,150.0,0.7,0.0,96.0,288.65,289.25,
27497995,20342001,41.922,9.401,17.0,20180823 20:54,280.0,2.5,0.0,52.0,287.35,297.85,101290.0
38535965,48198001,44.442,3.928,620.0,20181123 21:48,,,0.0,,,281.35,
16526340,85152001,46.62,-1.63,58.0,20161004 05:00,90.0,2.6,0.0,,,284.85,
28494643,23067001,45.7,2.26,772.0,20170906 11:36,330.0,2.1,0.0,56.0,280.25,289.05,
3731467,6118002,43.679,6.809,694.0,20180202 04:48,0.0,0.0,0.0,50.0,266.95,276.35,
19151577,38229001,45.23,5.78,469.0,20170616 16:54,,,0.0,,,,
3569358,44181001,47.01,-1.78,4.0,20170301 05:36,220.0,3.6,0.0,90.0,279.65,281.15,
5701013,28407001,48.258,0.91,235.0,20180406 18:48,120.0,3.8,0.0,59.0,280.15,288.05,
1238809,20054002,42.495,9.353,499.0,20180111 17:42,,,0.0,,,279.75,
25530235,26177001,45.11,4.94,213.0,20170811 13:54,,,0.0,,,,
34565980,19148001,45.38,2.28,615.0,20171029 21:00,,,0.0,,,280.35,
31400415,63319002,45.56,3.87,1260.0,20160927 20:54,,,0.0,,,,
16623952,5145002,44.671,6.21,1210.0,20170525 12:06,230.0,3.9,0.0,48.0,283.95,295.45,
30751902,6118002,43.679,6.809,694.0,20160922 05:00,20.0,2.0,0.0,78.0,281.05,284.75,
20074338,22005003,48.55,-3.388,158.0,20181201 01:42,210.0,4.4,0.0,93.0,281.25,282.35,
23628097,30093003,43.94,3.9,135.0,20160722 17:06,,,0.0,,,300.45,
